"Location","nation","Country","gender","field_research","Country_work","PhD_Year","what_participant_group"
"Utah","United States","United States","Male","Natural Science","United States","1986","Senior academic researcher with >10 years of experience applying for research grants"
"","United States","","Male","Physical Science (eg. math, physics, chemistry, computer science)","United States","2007","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Virginia","United States","United States","Male","Physical Science (eg. math, physics, chemistry, computer science)","United States","1989","Senior academic researcher with >10 years of experience applying for research grants"
"Utah","United States","United States","Male","Engineering","United States","1985","Senior academic researcher with >10 years of experience applying for research grants"
"Idaho","United States","United States","Male","Physical Science (eg. math, physics, chemistry, computer science)","United States","1981","Senior academic researcher with >10 years of experience applying for research grants"
"Idaho","United States","United States","Male","Physical Science (eg. math, physics, chemistry, computer science)","United States","1988","Senior academic researcher with >10 years of experience applying for research grants"
"Idaho","United States","United States","Male","Physical Science (eg. math, physics, chemistry, computer science)","United States","1986","Senior academic researcher with >10 years of experience applying for research grants"
"Minnesota","United States","United States","Male","Medicine and Life Science","United States","1979","Senior academic researcher with >10 years of experience applying for research grants"
"Utah","United States","United States","Male","Engineering","United States","1986","Senior academic researcher with >10 years of experience applying for research grants"
"Utah","United States","United States","Male","Physical Science (eg. math, physics, chemistry, computer science)","United States","1987","Senior academic researcher with >10 years of experience applying for research grants"
"Utah","United States","United States","Female","Other","United States","2007","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Utah","United States","United States","Male","Engineering","United States","1999","Senior academic researcher with >10 years of experience applying for research grants"
"Utah","United States","United States","Male","Interdisciplinary Science","United States","2007","Senior academic researcher with >10 years of experience applying for research grants"
"Utah","United Kingdom","United States","Male","Natural Science","United Kingdom","1981","Senior academic researcher with >10 years of experience applying for research grants"
"Idaho","United States","United States","Male","Medicine and Life Science","United States","1988","Senior academic researcher with >10 years of experience applying for research grants"
"Switzerland","United States","Switzerland","Male","Medicine and Life Science","United States","1981","Senior academic researcher with >10 years of experience applying for research grants"
"Utah","United States","United States","Male","Natural Science","United States","1998","Senior academic researcher with >10 years of experience applying for research grants"
"Idaho","United States","United States","Male","Natural Science","United States","1987","Senior academic researcher with >10 years of experience applying for research grants"
"Utah","United States","United States","Female","Engineering","United States","2007","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Minnesota","United States","United States","Male","Medicine and Life Science","United States","1988","Senior academic researcher with >10 years of experience applying for research grants"
"California","United States","United States","Female","Natural Science","United States","1992","Senior academic researcher with >10 years of experience applying for research grants"
"Idaho","United States","United States","Female","Engineering","United States","1999","Senior academic researcher with >10 years of experience applying for research grants"
"Utah","United States","United States","Male","Medicine and Life Science","United States","1986","Senior academic researcher with >10 years of experience applying for research grants"
"Idaho","United States","United States","Female","Physical Science (eg. math, physics, chemistry, computer science)","United States","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Australia","New Zealand","Australia","Male","Social Science / Humanities","New Zealand","","Senior academic researcher with >10 years of experience applying for research grants"
"Utah","United States","United States","Male","Natural Science","United States","2012","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Australia","Australia","Australia","Female","Interdisciplinary Science","Australia","1988","Senior academic researcher with >10 years of experience applying for research grants"
"New Zealand","New Zealand","New Zealand","Female","Social Science / Humanities","New Zealand","2007","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"New Zealand","New Zealand","New Zealand","Male","Medicine and Life Science","New Zealand","1981","Senior academic researcher with >10 years of experience applying for research grants"
"New Zealand","New Zealand","New Zealand","Male","Medicine and Life Science","New Zealand","1974","Senior academic researcher with >10 years of experience applying for research grants"
"Australia","Australia","Australia","Male","Social Science / Humanities","Australia","1975","Senior academic researcher with >10 years of experience applying for research grants"
"Australia","Australia","Australia","Female","Medicine and Life Science","Australia","","Senior academic researcher with >10 years of experience applying for research grants"
"","United States","","Male","Natural Science","United States","1973","Senior academic researcher with >10 years of experience applying for research grants"
"Australia","Australia","Australia","","Physical Science (eg. math, physics, chemistry, computer science)","Australia","1998","Senior academic researcher with >10 years of experience applying for research grants"
"Australia","Australia","Australia","Female","Interdisciplinary Science","Australia","1993","Senior academic researcher with >10 years of experience applying for research grants"
"New Zealand","Australia","New Zealand","Female","Social Science / Humanities","Australia","1996","Senior academic researcher with >10 years of experience applying for research grants"
"Australia","Australia","Australia","Male","Medicine and Life Science","Australia","1996","Senior academic researcher with >10 years of experience applying for research grants"
"Australia","Australia","Australia","Male","Social Science / Humanities","Australia","1975","Senior academic researcher with >10 years of experience applying for research grants"
"Australia","Australia","Australia","Female","Social Science / Humanities","Australia","1998","Senior academic researcher with >10 years of experience applying for research grants"
"Australia","Australia","Australia","Male","Physical Science (eg. math, physics, chemistry, computer science)","","1959","Senior academic researcher with >10 years of experience applying for research grants"
"Australia","Australia","Australia","Male","Medicine and Life Science","Australia","2010","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Australia","Australia","Australia","Male","Medicine and Life Science","Australia","2003","Senior academic researcher with >10 years of experience applying for research grants"
"Australia","Australia","Australia","Female","Medicine and Life Science","Australia","2005","Senior academic researcher with >10 years of experience applying for research grants"
"Australia","Australia","Australia","Male","Medicine and Life Science","Australia","2003","Senior academic researcher with >10 years of experience applying for research grants"
"Germany","Australia","Germany","Male","Medicine and Life Science","Australia","1987","Senior academic researcher with >10 years of experience applying for research grants"
"Australia","Australia","Australia","Male","Physical Science (eg. math, physics, chemistry, computer science)","Australia","2001","Senior academic researcher with >10 years of experience applying for research grants"
"Australia","Australia","Australia","Male","Physical Science (eg. math, physics, chemistry, computer science)","Australia","1989","Senior academic researcher with >10 years of experience applying for research grants"
"Australia","Australia","Australia","Male","Social Science / Humanities","Australia","1994","Senior academic researcher with >10 years of experience applying for research grants"
"Australia","Australia","Australia","Male","Interdisciplinary Science","Australia","1973","Senior academic researcher with >10 years of experience applying for research grants"
"Australia","Australia","Australia","Male","Physical Science (eg. math, physics, chemistry, computer science)","Australia","1976","Senior academic researcher with >10 years of experience applying for research grants"
"Australia","Australia","Australia","Male","Natural Science","Australia","1980","Senior academic researcher with >10 years of experience applying for research grants"
"Australia","Australia","Australia","Male","Social Science / Humanities","Australia","1995","Senior academic researcher with >10 years of experience applying for research grants"
"Australia","Australia","Australia","Male","Physical Science (eg. math, physics, chemistry, computer science)","Australia","2001","Senior academic researcher with >10 years of experience applying for research grants"
"Australia","Australia","Australia","Male","Physical Science (eg. math, physics, chemistry, computer science)","Australia","1989","Senior academic researcher with >10 years of experience applying for research grants"
"Australia","Australia","Australia","Female","Social Science / Humanities","Australia","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Australia","Australia","Australia","Male","Physical Science (eg. math, physics, chemistry, computer science)","Australia","1979","Senior academic researcher with >10 years of experience applying for research grants"
"Australia","Australia","Australia","Female","Natural Science","Australia","1989","Senior academic researcher with >10 years of experience applying for research grants"
"Australia","Australia","Australia","Female","Social Science / Humanities","Australia","1992","Senior academic researcher with >10 years of experience applying for research grants"
"Australia","Australia","Australia","Male","Medicine and Life Science","Australia","1981","Senior academic researcher with >10 years of experience applying for research grants"
"Australia","Australia","Australia","Female","Social Science / Humanities","Australia","1991","Senior academic researcher with >10 years of experience applying for research grants"
"Australia","Australia","Australia","Male","Physical Science (eg. math, physics, chemistry, computer science)","Australia","1998","Senior academic researcher with >10 years of experience applying for research grants"
"Australia","Australia","Australia","Male","Medicine and Life Science","Australia","1999","Senior academic researcher with >10 years of experience applying for research grants"
"Australia","Australia","Australia","Female","Medicine and Life Science","Australia","2006","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Australia","Australia","Australia","Male","Physical Science (eg. math, physics, chemistry, computer science)","Australia","2003","Senior academic researcher with >10 years of experience applying for research grants"
"Australia","Australia","Australia","Female","Social Science / Humanities","Australia","1995","Senior academic researcher with >10 years of experience applying for research grants"
"Australia","Australia","Australia","Female","Social Science / Humanities","Australia","2006","Senior academic researcher with >10 years of experience applying for research grants"
"Australia","Australia","Australia","Male","Medicine and Life Science","Australia","1985","Senior academic researcher with >10 years of experience applying for research grants"
"Australia","Australia","Australia","Female","Social Science / Humanities","Australia","2009","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Australia","Australia","Australia","Female","Other","Australia","2009","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Australia","Australia","Australia","Female","Engineering","Australia","2001","Senior academic researcher with >10 years of experience applying for research grants"
"Australia","Australia","Australia","Female","Medicine and Life Science","Australia","1990","Senior academic researcher with >10 years of experience applying for research grants"
"Australia","Australia","Australia","Male","Natural Science","Australia","1991","Senior academic researcher with >10 years of experience applying for research grants"
"Australia","Australia","Australia","Male","Interdisciplinary Science","Australia","1991","Senior academic researcher with >10 years of experience applying for research grants"
"Australia","Australia","Australia","Male","Medicine and Life Science","Australia","2011","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Australia","Australia","Australia","Male","Natural Science","Australia","2005","Senior academic researcher with >10 years of experience applying for research grants"
"United Kingdom","United Kingdom","United Kingdom","Male","Medicine and Life Science","United Kingdom","","Senior academic researcher with >10 years of experience applying for research grants"
"United Kingdom","United Kingdom","United Kingdom","Female","Medicine and Life Science","United Kingdom","1996","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future"
"Pennsylvania","United States","United States","Female","Natural Science","United States","1999","Senior academic researcher with >10 years of experience applying for research grants"
"Pennsylvania","United States","United States","Female","Social Science / Humanities","United States","1972","Senior academic researcher with >10 years of experience applying for research grants"
"","United States","","Male","Social Science / Humanities","United States","2015","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future"
"Pennsylvania","United States","United States","Male","Social Science / Humanities","United States","1968","Senior academic researcher with >10 years of experience applying for research grants"
"District of Columbia","United States","United States","Female","Medicine and Life Science","United States","2003","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"California","United States","United States","Female","Medicine and Life Science","United States","2009","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"New York","United States","United States","Male","Medicine and Life Science","United States","1979","Senior academic researcher with >10 years of experience applying for research grants"
"Germany","Australia","Germany","Male","Social Science / Humanities","Australia","2005","Senior academic researcher with >10 years of experience applying for research grants"
"Australia","Australia","Australia","Male","Physical Science (eg. math, physics, chemistry, computer science)","Australia","1999","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Australia","Australia","Australia","Female","Medicine and Life Science","Australia","1999","Senior academic researcher with >10 years of experience applying for research grants"
"United Kingdom","United Kingdom","United Kingdom","Female","Medicine and Life Science","United Kingdom","","Non-academic researcher conducting or managing research in industry or government with <10 years of experience"
"Australia","Australia","Australia","Male","Natural Science","Australia","1999","Senior academic researcher with >10 years of experience applying for research grants"
